buy_month	sell_month	pints_purchased	expected_profit
7	12	269577	97515.03198742503
6	12	259333	55810.83210814817
8	12	258849	53838.32705032636
9	12	256418	43942.15953110244
7	11	277045	35939.947130966015
10	12	246125	2038.3023233043605
6	11	266238	-4472.354644508511
8	11	265727	-6381.759183304669
9	11	263166	-15957.919700949675
5	12	236154	-38555.273114712814
10	11	252336	-56454.09878842543
7	10	284939	-60647.660940965485
11	12	224481	-86080.22681709369
5	11	241866	-95602.55259799902
6	10	273520	-98294.53411329004
8	10	272981	-100071.18143707364
7	9	293297	-102543.45689667137
9	10	270279	-108978.82277216345
7	8	302159	-112579.32938680564
4	12	216372	-119092.15089774231
3	12	211619	-138447.1698190918
6	9	281212	-139522.66802248248
8	9	280642	-141265.5072013731
6	8	289348	-150202.69817771987
3	4	254746	-169657.9650977946
4	11	221158	-173036.69640415482
1	2	220868	-177088.88806817343
5	10	247861	-182882.04096084923
3	11	216194	-191598.88880576845
6	7	297970	-192928.2631720438
5	9	254161	-222294.3035784945
5	8	260789	-234078.94920257104
4	5	254994	-234745.47313280718
2	12	187273	-237562.47479297456
5	6	275140	-243244.65494785627
4	10	226159	-254424.91694696047
3	5	248418	-254483.3639367644
1	12	180910	-263467.1396714784
2	3	225236	-265069.9974143873
3	10	220971	-271530.56020533916
5	7	267772	-274720.11227391846
2	4	220274	-282015.9039820486
2	11	190847	-286374.1515635955
4	9	231393	-291962.7567003924
1	3	216095	-294896.7544821991
4	8	236874	-304317.05128503306
3	9	225964	-308573.09881052433
1	4	211524	-310539.2279350279
1	11	184243	-311066.8862772616
4	6	248654	-316093.2688010113
3	8	231188	-321014.946890699
3	6	242396	-333304.46860166313
4	7	242621	-342845.12288413884
2	5	215527	-353189.08475455485
2	10	194560	-358596.16388596676
3	7	236659	-358991.12536369375
1	5	207142	-378351.32945534744
1	10	187702	-381208.04098979663
2	9	198421	-392852.23240773554
2	8	202438	-405453.396786338
1	9	191292	-414663.7598872055
2	6	210980	-419712.7079645869
1	8	195023	-427229.1399909513
2	7	206620	-440352.7262696999
1	6	202939	-441829.9391753819
1	7	198902	-461259.36831543344
