recipe_slug	score_bound
falafel	1.984145860528945
spamburger	2.1380186371033347
bacon-fried-rice	2.3344863078697116
chicken-fingers	2.4640292834597015
apple-crisp	2.507921646062141
cranberry-apple-crisp	2.8166538003847332
bacon-chocolate-chip-cookies	2.5981601940685835
sujebi	2.0728205916326012
pasta-primavera	1.9558974554627475
ramen	2.3829335785555976
brownies	2.5543306646732318
bacon-wrapped-scallops	1.7981499470000397
bacon-egg-muffins	2.2480646862454803
breakfast-burritos	1.8874840825423018
bolognese-sauce	1.844432808134107
croissants	2.5426949405578645
bacon-souffle	1.8840178862627386
souffle	2.435599414300107
chocolate-souffle	2.515311163953574
butter-croissants	2.225806184933436
pickled-green-beans	2.2779327275707795
fried-oysters	1.8622890989935135
peanut-butter-brownies	2.614469967347783
almond-chip-cookies	2.6831311154064035
guacamole	1.8451324110788203
brioche-bread	2.7746515263850915
brioche-bread-with-chocolate	2.7680212113787324
asparagus-quiche	2.251247218178195
asparagus-burger	2.128936175945675
ma-la-chicken	1.8980797405199683
cold-noodles-with-tomatoes	1.9140428637672546
tamales	2.5756284864740997
enchiladas	1.8810035679291928
tacos	1.884092382669561
burritos	2.2580589917240985
peanut-butter-cupcakes	2.7703353373471318
pickled-asparagus	2.2228605202013667
chocolate-peanut-butter-cake	2.6812909913056093
udon	1.8050640955953972
vegetable-lasagna	1.8443342075169529
maple-bacon-donuts	2.4824863325413347
maple-bacon-pancakes	2.212087548309953
spinach-and-ricotta-stuffed-shells	1.8047523318377698
quesadillas	1.9239534256406963
pico-de-gallo	1.839701736727622
nachos	2.022016956428769
cold-soba-noodles-with-tomato-and-cucumber	1.802639708381574
fajitas	2.3058223728163605
loaded-nachos	2.257559628983097
lasagna	1.7528673210256553
chicken-nuggets	2.3656740599948574
pain-au-chocolat	2.8381861070359946
nacho-dip	2.043284920342217
nacho-salad	2.296375679711762
nacho-casserole	2.2037347868305845
nacho-fries	2.3610950266468143
tempura-udon	2.055421175536287
peach-crisp	2.4379067055372103
apple-pie	2.8532155091579066
blueberry-crisp	2.5462603420864682
berry-crumble	2.308648279479295
strawberry-rhubarb-crisp	2.8619065463730413
peach-cobbler	2.4239765190538254
cranberry-sauce	2.5225074768792206
cherry-cobbler	2.43119251788489
apple-crumble	2.847818777220199
chocolate-croissants	2.645921791870159
french-toast	2.397131031107704
chocolate-babka	2.829284171904192
cinnamon-babka	2.5898860860455555
blueberry-crumble	2.528618429146764
spam-musubi	1.9158641786385755
taco-salad	2.101892249938738
chiles-rellenos	2.393932272806235
almond-croissants	2.504395055053529
cranberry-relish	2.5225074768792206
ma-la-beef	1.8443379087101
chocolate-cake	2.6591743952076126
spinach-quiche	2.1877030929776433
mushroom-quiche	1.8914898703428282
quiche-lorraine	2.1042103015186937
croissant-aux-amandes	2.345351009281443
danishes	2.7530513193225463
spinach-and-feta-quiche	2.062549600127436
cold-sesame-noodles	2.040064412554394
soba-noodle-salad-with-peanut-dressing	2.0316043224946747
dan-dan-noodles	1.8811925460459222
vanilla-souffle	2.5470614712151485
bacon-wrapped-dates	1.9871843757066063
cherry-pie	2.483304750796526
berry-crisp	2.4335466265566907
bacon-and-egg-breakfast-sandwich	2.2218373071415716
bacon-wrapped-shrimp-skewers	1.8515145346822133
bacon-wrapped-chicken	2.133314231214697
bacon-wrapped-asparagus	2.09117288678459
bacon-mac-and-cheese	2.06420974175072
chicken-alfredo-lasagna	2.2401956786963697
classic-beef-lasagna	2.119570885736302
vegetarian-mushroom-lasagna	1.6732891579910856
spinach-and-ricotta-lasagna	1.9411084263413798
