recipe_tag	coefficient
bias	0.3443675336982491
alfredo	0.02787729508887464
almond	-0.009871072340814253
american	1.05140784897103e-06
appetizer	-0.0026930994927000518
appetizers	0.0017806194386134032
apple	0.046781523472693334
asiancuisine	-0.007173987882178419
asparagus	0.045122365589578786
avocado	0.016670765591283335
bacon	-0.07880908512378218
baked	-0.12008056543469811
bakeddishes	0.00026487323679453667
bakery	0.028690624340032313
baking	0.14830114960321977
beans	0.022705426155492515
beef	-0.03769142150746062
bellpeppers	-0.05538772834122556
berries	-0.006952364751286551
blackbeans	-0.05538772834122556
blackvinegar	-0.005461349871964908
blueberry	0.09588154124361742
boiledeggs	0.02806126423674451
bokchoy	0.02806126423674451
braided	0.0203522460494272
bread	0.016692876601522882
breaded	-0.01773523053790707
breakfast	0.045758832273627426
breakfastpastry	0.05050359277689616
brioche	-0.082158019768293
broiling	-0.026225809475222288
brownies	0.02429700201288564
brownsugar	0.0313244767257544
brunch	0.02859959512611296
burger	-0.0149339485193771
burritos	-0.0767129000492603
buttery	0.11260100674988374
cake	0.018773755311658494
carrots	0.02806126423674451
casserole	0.04604306271571813
celebration	0.04699998753210596
cheese	-0.03357389108095933
cheesy	0.00899408746247779
cherry	-0.031370983875700253
chicken	0.08088399754903867
chickpeas	-0.0149339485193771
chilioil	-0.025840745392704412
chilipowder	-0.05538772834122556
chinese	0.0032773478400012126
chinesecookingwine	-0.020379395520739505
chinesecuisine	-0.031758449084245556
chocolate	0.11790315805474588
chocolatechip	0.04032726398373955
chocolatecroissant	0.05050359277689616
christmas	0.03502434172900898
cilantro	-0.009822555690659705
cinnamon	0.06512485014744597
citrus	0.01751217086450448
classic	0.04631486567042359
cloves	-0.0029630445522419607
cobbler	0.008946166196772576
cocoapowder	0.01803908357566614
coffee	-0.001658850587481125
cold	0.0032773478400012126
coldnoodles	-0.04943972589025146
comfortfood	-0.029371174729020677
condiment	-0.02121237705378809
cookies	0.13032253013320003
corn	0.04699998753210596
cranberry	0.04449537835659366
creamcheese	0.048430484579630194
creamy	-0.03305100990872601
crisp	0.06058978850240851
crispy	0.018513889875448712
croissant	-0.001658850587481125
croissants	0.02441106122272676
crumble	0.01783701881785371
crust	-0.0029630445522419607
cucumber	-0.04943972589025146
cumin	-0.05538772834122556
cupcakes	0.00957714993046947
custard	0.013257465544165382
custardy	-0.04039583164584177
customizable	0.018255622646140095
danish	0.048430484579630194
dashibroth	-0.011546888557052219
dates	-0.004055097609360542
decadent	-0.01013401582905575
dessert	0.30622533093866655
dinner	-0.00872525096909408
dip	-0.039569971724795774
donuts	0.024649761921810925
easterneuropean	0.0203522460494272
easy	0.016429667052992446
easydinner	-0.08192812056907099
egg	0.05556415255821623
eggs	0.03559731845823237
eggwhites	0.006134433446485654
fajitaseasoning	0.042162527784189455
fall	0.02789112792676557
familyfriendly	-0.03588505785335286
fastfood	-0.01773523053790707
fetacheese	-0.04415408108022272
filling	0.04992620332288779
fingerfood	0.08008638535194355
flaky	0.030654731379855797
french	0.06136170048360343
frenchcuisine	0.04591301819076049
frenchpastry	0.07753536652944734
fresh	-0.03492809526297393
fried	0.06866852231413335
friedfood	0.04600164939581043
friedrice	0.03167058067674769
fries	-0.008220491660922782
frosting	0.028350905242127966
fruit	0.034274013451362516
fudgy	-0.03048626187848295
gamedayfood	0.02533195714009152
ganache	0.0007346717359923514
garlic	-0.05435779158792106
ginger	-0.020379395520739505
glutenfree	-0.05595971543156891
goldenbrown	0.06208747839588234
greenbeans	0.02657547385339746
greenonion	-0.03397839606718155
greenonions	-0.048651635812515796
grill	-0.0149339485193771
grilled	-0.01595398150745172
grilling	-0.026225809475222288
groundbeef	0.07650579526891575
gruyere	0.06767006737821281
gruyerecheese	-0.0930580213517935
guacamole	0.009480225598456411
hamandcheese	0.048430484579630194
hamburger	0.006317367500096877
handheld	0.018255622646140095
handtorndough	0.0020741174090168828
hawaii	0.006317367500096877
hawaiian	-0.05211994743644707
healthy	0.12799183377928086
herbs	0.01594795686504369
holiday	0.08202432926111493
homemade	-0.0011224605456327096
indulgent	0.00957714993046947
italian	-0.05878138729485491
italiancuisine	0.02787729508887464
jalapenos	-0.008220491660922782
japanesecuisine	-0.01880880474101953
juicy	-0.04383726493858777
ketchup	0.006317367500096877
keto	-0.028923876951748594
kidfriendly	0.08008638535194355
koreancuisine	0.0020741174090168828
laminateddough	0.028690624340032313
lasagna	-0.042737266242507
lattice	-0.0029630445522419607
lettuce	-0.0534506197984613
lime	0.0105568398300798
loadednachos	0.0335524488010143
lowcarb	-0.028923876951748594
lunch	-0.00872525096909408
macandcheese	0.007344821737115758
maple	0.024649761921810925
maplesyrup	0.03385834052599548
masa	0.04699998753210596
mayonnaise	0.006317367500096877
meal	-0.01773523053790707
mealprep	0.031121451391890084
meat	-0.07154005673041985
meatsauce	-0.0867842949264805
mexican	0.034509727987450334
mexicancuisine	-0.0007400220962348325
mexicanfood	0.0335524488010143
middleeastern	0.03210951341857217
miso	0.02806126423674451
muffins	0.031121451391890084
mushroom	-0.12356440946487296
mushrooms	0.02806126423674451
nachos	0.048492003683224955
noodles	-0.03750718245267551
noodlesoup	0.02806126423674451
nori	-0.05211994743644707
numbing	-0.04667649473302016
nutmeg	0.028361432173512436
oat	0.007476393503560564
oats	0.021853440098169724
onion	-0.02808127784739104
onions	-0.013225200557036104
onthego	-0.05211994743644707
oven	0.05050359277689616
oysters	-0.0853132606319013
pacificislands	0.006317367500096877
pancakes	0.03385834052599548
parmesan	0.06767006737821281
partyfood	-0.020629460363221816
pasta	0.06322502445761598
pastasauce	-0.0867842949264805
pastry	0.07565235131957376
pastrycrust	-0.05266218970595173
peach	0.03919574093468909
peanutbutter	0.034608823679347464
peanutdressing	0.008287341940891492
peanuts	-0.005461349871964908
peppers	0.042162527784189455
pickledvegetables	0.05577044311047048
pie	-0.0029619931443929898
piecrust	-0.04415408108022272
pork	-0.005461349871964908
porkbelly	0.02806126423674451
potatoes	-0.0767129000492603
protein	0.031121451391890084
puffpastry	0.05050359277689616
quiche	-0.004376821318083375
quick	0.03301853052814315
ramen	0.02806126423674451
refreshing	-0.0019946431240241117
relish	0.01751217086450448
rhubarb	-0.0019946431240241117
rice	-0.05211994743644707
ricevinegar	-0.03397839606718155
rich	-0.01013401582905575
ricotta	0.012554016487649557
salad	0.029335216221472126
salsa	-0.07378551368848882
salty	0.007344821737115758
sandwich	0.05556415255821623
sauce	0.0175121708645045
savory	0.04929504105456404
scallions	-0.025840745392704412
scallops	-0.022271349007548596
seafood	-0.1317363017056553
sesame	0.0032773478400012126
sesameoil	-0.03397839606718155
sesameseeds	-0.03397839606718155
shrimp	-0.026225809475222288
sichuancuisine	-0.052137844604985065
sichuanpeppercorns	-0.025840745392704412
sidedish	0.035295434034333405
sidedishes	0.02657547385339746
skewers	-0.026225809475222288
smoky	-0.004821862524724323
snack	0.014154730856783558
snacks	0.018354982192474677
sobanoodles	-0.007173987882178419
soft	0.06208747839588234
souffle	0.006384668995858864
soup	-0.03324906301169493
sourcream	-0.016330509459356584
southern	0.0403182014803218
southerncuisine	-0.0853132606319013
soysauce	-8.729654639376763e-05
spam	-0.045802579936350195
spices	0.01594795686504369
spicy	-0.12350912534397625
spicyfood	0.13131491002771173
spinach	-0.011212194988223512
spring	-0.020862042113732056
steamed	0.04699998753210596
stirfry	-0.02629709921228065
strawberry	-0.0019946431240241117
streetfood	-0.006528604258898674
stuffedpeppers	0.13131491002771173
summer	-0.04883715348710255
sushi	-0.05211994743644707
sweet	0.10941480704698078
sweetandsalty	0.08999526614946048
sweetandsavory	0.0585081024478064
sweettreat	0.048844742189415036
taco	-0.00619592110171024
tacos	-0.03863811767747084
tangy	0.033029698604984864
tart	0.0175121708645045
tea	-0.001658850587481125
tempura	-0.011546888557052219
tender	0.04435224785797527
texmex	0.042162527784189455
thanksgiving	0.03502434172900898
toast	0.05556415255821623
tomato	-0.052159188689741176
tomatoes	-0.0211510134475237
tomatosauce	0.0041379131050682805
tortilla	-0.05538772834122556
tortillabowl	-0.00619592110171024
tortillachips	0.027243795382290874
tortillas	-0.03455037226507085
traditional	0.04699998753210596
twisted	0.0203522460494272
udonnoodles	-0.011546888557052219
vanilla	0.006134433446485654
vanillaicecream	0.021853440098169724
vegan	-0.09354984503499983
vegetables	0.012882655972032517
vegetarian	-0.06996974260557846
warm	0.05050359277689616
whippedcream	0.021853440098169724
winter	0.02789112792676557
yeastdough	0.0203522460494272
