recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	1.0
ramen	7.27009263523874	0.5
quesadillas	7.267170460455014	0.0
ma-la-chicken	7.159432698375382	0.0
chocolate-babka	6.958123601897381	1.0
pain-au-chocolat	7.006983788758305	1.0
spamburger	6.94797251066784	0.25
bacon-fried-rice	6.932862410023616	0.5
cranberry-sauce	6.7151790489169505	0.75
nacho-fries	6.627436522991845	0.5
strawberry-rhubarb-crisp	6.597316601987844	1.0
asparagus-burger	6.593373605607248	0.25
apple-pie	6.461888019704064	1.0
mushroom-quiche	6.463147814803571	0.0
bacon-wrapped-chicken	6.3471972675201895	0.25
brioche-bread	6.295663221598558	1.0
cold-noodles-with-tomatoes	6.204009140964933	0.0
bacon-wrapped-asparagus	6.174320943230006	0.25
guacamole	6.109204850227427	0.0
cranberry-apple-crisp	6.025735168686884	1.0
tamales	5.934996564592795	0.75
dan-dan-noodles	5.8967620863131	0.0
taco-salad	5.862907131433212	0.25
croissants	5.827296653006056	0.75
chicken-nuggets	5.779894945310376	0.5
apple-crisp	5.647135034693106	0.75
spam-musubi	5.636566622987032	0.0
breakfast-burritos	5.6090999969858695	0.0
chocolate-peanut-butter-cake	5.594047266605559	1.0
sujebi	5.492845743126607	0.25
croissant-aux-amandes	5.487663050829084	0.5
asparagus-quiche	5.440111381160927	0.5
tacos	5.417149390988566	0.0
bacon-mac-and-cheese	5.375914094986942	0.25
danishes	5.363903162269569	1.0
vanilla-souffle	5.329378373723658	0.75
cherry-pie	5.296795296417368	0.75
fajitas	5.2790994617778955	0.5
brioche-bread-with-chocolate	5.2655377942063275	1.0
bacon-wrapped-shrimp-skewers	5.2648316941983015	0.0
souffle	5.133027596286776	0.75
quiche-lorraine	5.105663443137405	0.25
spinach-and-ricotta-lasagna	5.097129054522903	0.25
brownies	5.086172290315522	0.75
nacho-salad	5.080997761119624	0.5
loaded-nachos	5.007069372339245	0.5
enchiladas	4.995257343668104	0.0
soba-noodle-salad-with-peanut-dressing	4.9784146359493056	0.25
peanut-butter-cupcakes	4.974116267474889	1.0
nachos	4.914173870711426	0.25
peach-crisp	4.851139639776534	0.75
almond-croissants	4.832000433001893	0.75
cranberry-relish	4.723909673468671	0.75
pickled-green-beans	4.6942295707591954	0.5
spinach-and-feta-quiche	4.651258675931855	0.25
bacon-egg-muffins	4.622537647804458	0.5
tempura-udon	4.5733151878196265	0.25
maple-bacon-donuts	4.557047853849458	0.75
ma-la-beef	4.527574269784961	0.0
chicken-fingers	4.517158833869054	0.75
cold-sesame-noodles	4.5225694804989205	0.25
bolognese-sauce	4.519144566884427	0.0
chiles-rellenos	4.476037831175829	0.75
burritos	4.481866069280453	0.5
almond-chip-cookies	4.465922289828332	1.0
chicken-alfredo-lasagna	4.419753719830717	0.5
fried-oysters	4.41098644700696	0.0
berry-crisp	4.384788284614897	0.75
pico-de-gallo	4.3379760028173635	0.0
bacon-and-egg-breakfast-sandwich	4.318641776193021	0.5
peach-cobbler	4.313934824364545	0.75
nacho-dip	4.212261901865187	0.25
chocolate-croissants	4.189559042934975	1.0
bacon-wrapped-scallops	4.176167294120914	0.0
spinach-quiche	4.132547076975629	0.5
falafel	4.132090036461304	0.25
cold-soba-noodles-with-tomato-and-cucumber	4.090363522569785	0.0
blueberry-crumble	4.081003490120085	1.0
maple-bacon-pancakes	4.057131619285125	0.5
chocolate-cake	4.055983589938852	1.0
pickled-asparagus	4.046864389441776	0.5
bacon-chocolate-chip-cookies	4.039343264147667	1.0
udon	3.986866131833334	0.0
nacho-casserole	3.9314602848755356	0.5
french-toast	3.9229664554747075	0.75
peanut-butter-brownies	3.858143660444269	1.0
pasta-primavera	3.8454816732551396	0.25
cherry-cobbler	3.8185281535784172	0.75
bacon-wrapped-dates	3.7887726222603684	0.25
cinnamon-babka	3.7287728826802384	1.0
classic-beef-lasagna	3.662357847385651	0.5
blueberry-crisp	3.5741392792760998	1.0
lasagna	3.4510560719944197	0.0
chocolate-souffle	3.4368797263896305	1.0
berry-crumble	3.1652538292093437	0.75
butter-croissants	3.0048524358397315	0.75
vegetarian-mushroom-lasagna	2.980753700235191	0.0
bacon-souffle	2.920406512694422	0.25
strawberry-rhubarb-crisp	2.8614113847564013	1.0
apple-pie	2.8524135966640065	1.0
