index	u_check
0	1.67229926136124
1	-1.15209534750763
2	-1.23518258270574
3	-0.288503503167753
4	0.369201572899264
5	0.430598486578045
6	0.18864360890566
7	-0.0248031694990718
8	-0.0890245579500389
9	-0.0523836415769754
10	-0.000781257443182429
11	0.0215504897335841
12	0.0166200455386804
13	0.00370584348079251
14	-0.00390703556168614
15	-0.00432037493410855
16	-0.00156055418552842
17	0.000623745949498114
18	0.00110220742145851
19	0.00056256483327731
20	-3.13639284048237e-05
21	-0.000250460417994865
22	-0.000170992628087439
23	-2.37612853315582e-05
24	5.2173939116466e-05
25	4.81598405961994e-05
26	1.4301033358402e-05
27	-9.01791779432928e-06
28	-1.24377051340208e-05
29	-5.48508922802756e-06
30	1.01996734642356e-06
31	2.98185906797187e-06
32	1.78173856368344e-06
33	1.0044169668013e-07
34	-6.49869077450563e-07
35	-5.19119016420091e-07
36	-1.18007361652184e-07
37	1.24124283517728e-07
38	1.39357908828753e-07
39	5.21638311467857e-08
40	-1.82248395367977e-08
41	-3.46133285603424e-08
42	-1.80747701052067e-08
43	7.60467077283572e-10
44	7.90565796470262e-09
45	5.51136962964019e-09
46	8.44844616815268e-10
47	-1.61772614786884e-09
48	-1.53428984176084e-09
49	-4.72114028857187e-10
50	2.75953392696332e-10
51	3.95025545555785e-10
52	1.78678549160121e-10
53	-2.89885862776393e-11
54	-9.3954158975254e-11
55	-5.73888380947169e-11
56	-4.06796311976814e-12
57	2.03274485108428e-11
58	1.66184534149156e-11
59	3.97379675894225e-12
60	-3.82801493428762e-12
61	-4.43311923508209e-12
62	-1.70802907643209e-12
63	5.44110851034834e-13
64	1.09470507310948e-12
65	5.84810118802277e-13
66	-1.43346876168e-14
67	-2.48213986987096e-13
68	-1.76911602684474e-13
69	-2.93721093802574e-14
70	5.02710846243763e-14
71	4.89465091168404e-14
72	1.56051690186109e-14
73	-8.4027027071245e-15
74	-1.25279158376412e-14
75	-5.8083801940331e-15
76	8.15039824775209e-16
77	2.96050486885449e-15
78	1.84832385933787e-15
79	1.57632329179256e-16
80	-6.35089532902087e-16
81	-5.31618170128498e-16
82	-1.33287738192261e-16
83	1.17916637451259e-16
84	1.40977942481535e-16
85	5.5868993119238e-17
86	-1.61607781479631e-17
87	-3.46022773069345e-17
88	-1.89069016845218e-17
89	1.42595274465027e-19
90	7.78854964324648e-18
91	5.67604377668466e-18
92	1.01356294115017e-18
93	-1.56049243072101e-18
94	-1.56074862247125e-18
95	-5.14867683426046e-19
96	2.55222404172927e-19
97	3.97133706368155e-19
98	1.88653282451716e-19
99	-2.25029749472595e-20
